image_path,transform,phash_distance,dhash_distance,colorhash_distance,average_hash_distance,whash_haar_distance,whash_db4_distance,pdqhash_distance,crop_resistant_hash_distance,AppleNeuralHash,AppleNeuralHash2024,PhotoDNA
../final_dataset/Interior/Dinningroom/0.jpg,contrast_x0.5,1.0,0.9375,0.9761904761904762,1.0,1.0,1.0,1.0,0.296875,1.0,1.0,0.3055555555555556
../final_dataset/Interior/Dinningroom/0.jpg,contrast_x0.2,0.96875,0.953125,0.9047619047619048,1.0,1.0,1.0,1.0,0.859375,1.0,1.0,0.3333333333333333
../final_dataset/Interior/Dinningroom/0.jpg,colorbalance_x0.5,1.0,0.984375,0.9523809523809524,1.0,1.0,1.0,1.0,0.921875,0.9791666666666666,0.9791666666666666,1.0
../final_dataset/Interior/Dinningroom/0.jpg,colorbalance_x0.2,1.0,0.984375,0.9047619047619048,1.0,1.0,1.0,1.0,0.921875,0.96875,0.96875,1.0
../final_dataset/Interior/Dinningroom/0.jpg,brightness_x0.5,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.859375,0.9895833333333334,0.9895833333333334,1.0
../final_dataset/Interior/Dinningroom/0.jpg,brightness_x0.2,1.0,0.953125,0.9523809523809524,1.0,1.0,0.9897959183673468,0.9921875,0.84375,0.9895833333333334,0.9895833333333334,1.0
../final_dataset/Interior/Dinningroom/1.jpg,contrast_x0.5,1.0,0.984375,0.9523809523809524,1.0,1.0,1.0,1.0,0.671875,1.0,1.0,1.0
../final_dataset/Interior/Dinningroom/1.jpg,contrast_x0.2,0.96875,0.921875,0.9285714285714286,1.0,1.0,1.0,0.9921875,0.78125,1.0,1.0,1.0
../final_dataset/Interior/Dinningroom/1.jpg,colorbalance_x0.5,1.0,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
../final_dataset/Interior/Dinningroom/1.jpg,colorbalance_x0.2,0.96875,0.96875,0.9285714285714286,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0
../final_dataset/Interior/Dinningroom/1.jpg,brightness_x0.5,0.96875,0.96875,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
../final_dataset/Interior/Dinningroom/1.jpg,brightness_x0.2,1.0,0.890625,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9895833333333334,0.9895833333333334,1.0
../final_dataset/Interior/Dinningroom/10.jpg,contrast_x0.5,1.0,1.0,1.0,1.0,1.0,0.9897959183673468,1.0,0.71875,1.0,1.0,1.0
../final_dataset/Interior/Dinningroom/10.jpg,contrast_x0.2,1.0,1.0,0.9285714285714286,1.0,1.0,0.979591836734694,0.9921875,0.21875,0.9895833333333334,0.9895833333333334,1.0
