image_path,transform,ORB_distance,SIFT_distance,BRISK_distance,KAZE_distance,AKAZE_distance
../final_dataset/final_dataset/Interior/Livingroom/120.jpg,contrast_x0.5,0.9986785404265872,0.9462160591976517,0.9989488821211684,0.9999819712919414,0.9871612579458013
../final_dataset/final_dataset/Interior/Livingroom/120.jpg,contrast_x0.2,0.9956670168067226,0.7696529858732877,0.9993024553571429,1,1
../final_dataset/final_dataset/Interior/Livingroom/120.jpg,colorbalance_x0.5,0.9996668653292551,0.9934921951443249,0.9993045069590336,0.9999933092387304,0.9927514455658951
../final_dataset/final_dataset/Interior/Livingroom/120.jpg,colorbalance_x0.2,0.9993616300954828,0.9925169704011741,0.9988471163372317,0.9999919379284755,0.9878064539949785
../final_dataset/final_dataset/Interior/Livingroom/120.jpg,brightness_x0.5,0.9986785404265872,0.9462172058463796,0.9989460580537883,0.9999819712814965,0.9871612579458013
../final_dataset/final_dataset/Interior/Livingroom/120.jpg,brightness_x0.2,0.9957908163265305,0.7691727311643834,0.9993024553571429,1,1
../final_dataset/final_dataset/Interior/Livingroom/237.jpg,contrast_x0.5,0.998569253480146,0.934887884106634,0.9988712459415584,0.9999958807148616,0.9749983429808669
../final_dataset/final_dataset/Interior/Livingroom/237.jpg,contrast_x0.2,0.997194320436508,0.7702850354217542,0.9981863839285714,1,1
../final_dataset/final_dataset/Interior/Livingroom/237.jpg,colorbalance_x0.5,0.9996714681825969,0.991843497214591,0.9993898520011117,0.9999966237440034,0.9830777956674475
../final_dataset/final_dataset/Interior/Livingroom/237.jpg,colorbalance_x0.2,0.99898607515795,0.9870600500483314,0.9989987213512374,0.9999908390067695,0.9654806091938787
../final_dataset/final_dataset/Interior/Livingroom/237.jpg,brightness_x0.5,0.9987251165206649,0.9361849991732805,0.9987028637917933,0.9999951443773071,0.9554809944154207
../final_dataset/final_dataset/Interior/Livingroom/237.jpg,brightness_x0.2,0.997194320436508,0.7702850354217542,0.9981515066964286,1,1
../final_dataset/final_dataset/Interior/Livingroom/35.jpg,contrast_x0.5,0.9986542754120881,0.9288374809147636,0.9988261010362695,0.9999907042971836,0.981539080796253
../final_dataset/final_dataset/Interior/Livingroom/35.jpg,contrast_x0.2,0.9970703125,0.7692856831684811,1,1,1
../final_dataset/final_dataset/Interior/Livingroom/35.jpg,colorbalance_x0.5,0.999663452687776,0.9923474944403878,0.9994707549094777,0.9999968165150179,0.9872499841762137
../final_dataset/final_dataset/Interior/Livingroom/35.jpg,colorbalance_x0.2,0.999199853552532,0.987065603425385,0.9989842189060939,0.9999924042668601,0.9775535740191914
../final_dataset/final_dataset/Interior/Livingroom/35.jpg,brightness_x0.5,0.9986542754120881,0.9288367029839352,0.9988195954385639,0.999990704331494,0.981539080796253
../final_dataset/final_dataset/Interior/Livingroom/35.jpg,brightness_x0.2,0.9973958333333334,0.762926098645778,1,1,1
../final_dataset/final_dataset/Interior/Livingroom/313.jpg,contrast_x0.5,0.9987672483766235,0.9245911585463773,0.9990982959494773,0.9999952205856977,0.9908623285379724
../final_dataset/final_dataset/Interior/Livingroom/313.jpg,contrast_x0.2,0.9964338030133929,0.7754573684802158,0.9981166294642858,0.9999937646588521,1
../final_dataset/final_dataset/Interior/Livingroom/313.jpg,colorbalance_x0.5,0.9997435497636555,0.9913757888778263,0.9995458209325397,0.9999959459466743,0.9870168636707297
../final_dataset/final_dataset/Interior/Livingroom/313.jpg,colorbalance_x0.2,0.9993145116843034,0.9858022064491263,0.9991665633267197,0.9999886257544127,0.974152493569317
../final_dataset/final_dataset/Interior/Livingroom/313.jpg,brightness_x0.5,0.9988382899628253,0.9219665840987926,0.9991303664991447,0.9999947250354262,0.9880436600869856
../final_dataset/final_dataset/Interior/Livingroom/313.jpg,brightness_x0.2,0.9966353728991597,0.7736803860483042,0.9982212611607143,0.9999938589878313,1
../final_dataset/final_dataset/Interior/Livingroom/49.jpg,contrast_x0.5,0.9990416343167702,0.9060391815713148,0.9989414231601731,0.9999920136935035,0.986923406657745
../final_dataset/final_dataset/Interior/Livingroom/49.jpg,contrast_x0.2,0.9981278801843316,0.7726317692931074,0.9973493303571428,0.9999966676123222,1
../final_dataset/final_dataset/Interior/Livingroom/49.jpg,colorbalance_x0.5,0.9997003388169109,0.9926191335162646,0.999495782336811,0.9999952478702644,0.9876780337427711
../final_dataset/final_dataset/Interior/Livingroom/49.jpg,colorbalance_x0.2,0.9993300842647571,0.9801148682751366,0.998926833638436,0.9999914505155969,0.9826462513450217
../final_dataset/final_dataset/Interior/Livingroom/49.jpg,brightness_x0.5,0.9990416343167702,0.9060398480152412,0.9989405776515151,0.9999920136408853,0.986923406657745
../final_dataset/final_dataset/Interior/Livingroom/49.jpg,brightness_x0.2,0.9978218605990783,0.7682003614791857,0.9993024553571429,0.9999971193622383,1
../final_dataset/final_dataset/Interior/Livingroom/98.jpg,contrast_x0.5,0.9989324892014326,0.9425547074298469,0.9989536830357142,0.9999910063134587,0.9855459601873536
../final_dataset/final_dataset/Interior/Livingroom/98.jpg,contrast_x0.2,0.9970192052687411,0.8288542188638849,0.9990147181919642,0.9999481836383071,0.9997072599531616
../final_dataset/final_dataset/Interior/Livingroom/98.jpg,colorbalance_x0.5,0.9997089956955335,0.9912333585778059,0.9994772356108758,0.99999317373996,0.9884748763216608
../final_dataset/final_dataset/Interior/Livingroom/98.jpg,colorbalance_x0.2,0.999448655361425,0.9925891220048288,0.9991653414316372,0.9999887125476172,0.9832547402725658
