image_path,transform,ORB_distance,SIFT_distance,BRISK_distance,KAZE_distance,AKAZE_distance
../final_dataset/final_dataset/Interior/Bathroom/336.jpg,contrast_x0.5,0.998367966978458,0.9177949549788136,0.9988934602373558,0.9999897789834346,0.9921137605563836
../final_dataset/final_dataset/Interior/Bathroom/336.jpg,contrast_x0.2,0.9973842075892856,0.7817331580407586,0.9984654017857142,0.999988542849834,1
../final_dataset/final_dataset/Interior/Bathroom/336.jpg,colorbalance_x0.5,0.9995728880494505,0.995698474702381,0.9994371425485518,0.9999957759721229,0.9930913348946139
../final_dataset/final_dataset/Interior/Bathroom/336.jpg,colorbalance_x0.2,0.9993118523316062,0.9855856537530266,0.9990407131383511,0.9999914198437134,0.9719161067215304
../final_dataset/final_dataset/Interior/Bathroom/336.jpg,brightness_x0.5,0.998367966978458,0.917795349071832,0.9988925937222716,0.9999897789895589,0.9921137605563836
../final_dataset/final_dataset/Interior/Bathroom/336.jpg,brightness_x0.2,0.9973854993386242,0.7820070526886601,0.9976981026785714,0.9999934058658255,1
../final_dataset/final_dataset/Interior/Bathroom/48.jpg,contrast_x0.5,0.9983800822756789,0.9158434186662946,0.9993083170768309,0.9999964537101308,0.9940696532446929
../final_dataset/final_dataset/Interior/Bathroom/48.jpg,contrast_x0.2,0.9962239583333334,0.7803995560626594,0.9967912946428572,1,1
../final_dataset/final_dataset/Interior/Bathroom/48.jpg,colorbalance_x0.5,0.9996190060732414,0.9909543407206634,0.9994506384159882,0.9999957113719823,0.9876497293354322
../final_dataset/final_dataset/Interior/Bathroom/48.jpg,colorbalance_x0.2,0.9989978730366492,0.9872498804209184,0.9988791179187193,0.9999900285499257,0.9731634795904542
../final_dataset/final_dataset/Interior/Bathroom/48.jpg,brightness_x0.5,0.9981714151594113,0.917449951171875,0.9989994236680328,0.9999934213255655,0.9888807572209212
../final_dataset/final_dataset/Interior/Bathroom/48.jpg,brightness_x0.2,0.9964471726190477,0.756067704181282,0.9967912946428572,1,1
../final_dataset/final_dataset/Interior/Bathroom/99.jpg,contrast_x0.5,0.9952008928571429,0.914309323489011,1,0.9999930454250716,1
../final_dataset/final_dataset/Interior/Bathroom/99.jpg,contrast_x0.2,1,1,1,1,1
../final_dataset/final_dataset/Interior/Bathroom/99.jpg,colorbalance_x0.5,0.9996386490046839,0.9974083533653846,0.9997519841269842,0.9999963793971648,0.9729947306791569
../final_dataset/final_dataset/Interior/Bathroom/99.jpg,colorbalance_x0.2,0.9995654639929743,0.994881095467033,0.9997209821428572,0.9999939992384107,0.959931206088993
../final_dataset/final_dataset/Interior/Bathroom/99.jpg,brightness_x0.5,0.9945870535714285,0.9144595638736261,1,0.9999955103230604,1
../final_dataset/final_dataset/Interior/Bathroom/99.jpg,brightness_x0.2,1,1,1,1,1
../final_dataset/final_dataset/Interior/Bathroom/179.jpg,contrast_x0.5,0.9983665829613096,0.8716862796801413,0.9975074404761904,0.999995367196321,0.9765259074941453
../final_dataset/final_dataset/Interior/Bathroom/179.jpg,contrast_x0.2,0.9963030133928572,0.7810576003237832,1,1,1
../final_dataset/final_dataset/Interior/Bathroom/179.jpg,colorbalance_x0.5,0.9996274290966386,0.9850602801216639,0.9992452566964286,0.9999982667556755,0.9892164700054045
../final_dataset/final_dataset/Interior/Bathroom/179.jpg,colorbalance_x0.2,0.9990889212827988,0.9768238876079278,0.9990291028372008,0.9999963295003947,0.9771856082364899
../final_dataset/final_dataset/Interior/Bathroom/179.jpg,brightness_x0.5,0.9983665829613096,0.8716855131475668,0.9973896329365078,0.999995366823061,0.9769650175644028
../final_dataset/final_dataset/Interior/Bathroom/179.jpg,brightness_x0.2,0.9965122767857143,0.7813059568779434,1,1,1
../final_dataset/final_dataset/Interior/Bathroom/34.jpg,contrast_x0.5,0.9988343661889098,0.9368889395506678,0.9990507327251552,0.9999898517600132,0.9925900175644029
../final_dataset/final_dataset/Interior/Bathroom/34.jpg,contrast_x0.2,0.9964770735981309,0.8271013674143438,0.9985086976600984,0.99999523513981,0.9754830210772835
../final_dataset/final_dataset/Interior/Bathroom/34.jpg,colorbalance_x0.5,0.9997290589755639,0.9936103776495353,0.9994965341047134,0.9999968060238857,0.9915901957972886
../final_dataset/final_dataset/Interior/Bathroom/34.jpg,colorbalance_x0.2,0.9996787964190982,0.9931901495354238,0.9994481859531976,0.9999936046350741,0.9851404350197299
../final_dataset/final_dataset/Interior/Bathroom/34.jpg,brightness_x0.5,0.99880180960344,0.9379071845963995,0.9990274521454264,0.9999938722959193,0.9872266017062562
../final_dataset/final_dataset/Interior/Bathroom/34.jpg,brightness_x0.2,0.9964770735981309,0.8271047700711383,0.9985086976600984,0.9999952350537605,0.9754830210772835
../final_dataset/final_dataset/Interior/Bathroom/212.jpg,contrast_x0.5,0.998056053218985,0.8926066433997634,0.9991691012342436,0.9999911486868936,0.9864680913348944
../final_dataset/final_dataset/Interior/Bathroom/212.jpg,contrast_x0.2,0.9970005580357143,0.7521126738851618,1,1,1
../final_dataset/final_dataset/Interior/Bathroom/212.jpg,colorbalance_x0.5,0.9995918499114521,0.9926499605367008,0.999364075908632,0.9999935248709675,0.9817791498119366
../final_dataset/final_dataset/Interior/Bathroom/212.jpg,colorbalance_x0.2,0.9989974010147233,0.9861311938881215,0.9990041437120061,0.9999822366569223,0.9662868669496487
../final_dataset/final_dataset/Interior/Bathroom/212.jpg,brightness_x0.5,0.9979872229064041,0.8878009076558799,0.9991403788077731,0.9999908292289178,0.9860362997658081
