perceptual_algorithm,time
crop_resistant_hash,86182.81788285635
phash,661.8594905019272
dhash,528.0206350679509
colorhash,3061.5525523193646
average_hash,513.9830906477291
whash_haar,3681.2183585753664
whash_db4,3984.5608164155856
pdqhash,2588.1091381094884
AppleNeuralHash2024,28306.19082325208
AppleNeuralHash,29121.83556343615
